date,source,true_sleep,true_wake,detected_sleep,detected_wake,sleep_diff_minutes,wake_diff_minutes,sleep_time_error,wake_time_error
2025-02-03,Chrome History,2025-02-03 23:40:00+00:00,2025-02-04 04:40:00+00:00,2025-02-04 04:00:34.914896+00:00,2025-02-04 11:45:12.411433+00:00,260.58191493333334,425.20685721666666,1180,-425
2025-02-04,Chrome History,2025-02-04 23:40:00+00:00,2025-02-05 06:50:00+00:00,2025-02-05 02:32:34.621259+00:00,2025-02-05 06:23:37.348550+00:00,172.5770209833333,26.377524166666667,1268,27
2025-02-05,Chrome History,2025-02-06 02:50:00+00:00,2025-02-05 09:20:00+00:00,2025-02-06 00:31:49.808312+00:00,2025-02-06 09:31:32.192234+00:00,138.16986146666667,1451.5365372333333,139,-11
2025-02-16,Chrome History,2025-02-17 01:40:00+00:00,2025-02-16 08:20:00+00:00,2025-02-17 01:58:18.972903+00:00,2025-02-17 09:30:25.414329+00:00,18.31621505,1510.4235721500002,-18,-70
2025-02-18,Chrome History,2025-02-18 22:50:00+00:00,2025-02-19 07:30:00+00:00,2025-02-18 21:25:39.653636+00:00,2025-02-19 04:45:36.901693+00:00,84.33910606666667,164.38497178333333,85,165
2025-01-23,Combined,2025-01-24 05:10:00+00:00,2025-01-23 08:40:00+00:00,2025-01-24 03:21:34.334839+00:00,2025-01-24 06:24:51.506491+00:00,108.42775268333334,1304.8584415166665,109,136
2025-01-24,Combined,2025-01-25 02:30:00+00:00,2025-01-24 12:20:00+00:00,2025-01-25 00:29:26.670842+00:00,2025-01-25 04:44:02.336097+00:00,120.55548596666667,984.03893495,121,456
2025-01-30,Combined,2025-01-30 23:50:00+00:00,2025-01-31 07:30:00+00:00,2025-01-31 01:31:31.596706+00:00,2025-01-31 05:24:56.700631+00:00,101.52661176666668,125.05498948333334,1339,126
2025-02-02,Combined,2025-02-02 23:20:00+00:00,2025-02-03 08:50:00+00:00,2025-02-03 04:01:54.708962+00:00,2025-02-03 09:41:02.562333+00:00,281.91181603333337,51.04270555,1159,-51
2025-02-03,Combined,2025-02-03 23:40:00+00:00,2025-02-04 04:40:00+00:00,2025-02-04 04:00:41.815000+00:00,2025-02-04 11:45:12.411433+00:00,260.69691666666665,425.20685721666666,1180,-425
2025-02-04,Combined,2025-02-04 23:40:00+00:00,2025-02-05 06:50:00+00:00,2025-02-05 02:32:34.621259+00:00,2025-02-05 06:23:37.348550+00:00,172.5770209833333,26.377524166666667,1268,27
2025-02-05,Combined,2025-02-06 02:50:00+00:00,2025-02-05 09:20:00+00:00,2025-02-06 00:31:56.289000+00:00,2025-02-06 09:31:32.192234+00:00,138.06185,1451.5365372333333,139,-11
2025-02-16,Combined,2025-02-17 01:40:00+00:00,2025-02-16 08:20:00+00:00,2025-02-17 01:58:28.024000+00:00,2025-02-17 09:30:25.414329+00:00,18.467066666666664,1510.4235721500002,-18,-70
2025-02-18,Combined,2025-02-18 22:50:00+00:00,2025-02-19 07:30:00+00:00,2025-02-18 22:32:46.519000+00:00,2025-02-19 04:45:36.901693+00:00,17.224683333333335,164.38497178333333,18,165
2025-01-23,Smart Combined,2025-01-24 05:10:00+00:00,2025-01-23 08:40:00+00:00,2025-01-24 02:18:59.662419456+00:00,2025-01-24 06:25:54.277245440+00:00,171.0056263333333,1305.9046207666665,172,135
