source,detection_rate,days_detected,total_days,sleep_mean_error,sleep_median_error,sleep_std_error,wake_mean_error,wake_median_error,wake_std_error,sleep_within_30min,wake_within_30min,sleep_time_bias,wake_time_bias,sleep_time_correlation,wake_time_correlation
Search History,0.34375,11,32,110.98782727272724,79.55826666666667,101.0046996091179,745.8206136363638,1029.14095,583.1769352528988,0.2727272727272727,0.0,180.0,123.27272727272727,0.09077828162539542,0.003092998238516352
Watch History,0.4375,14,32,197.80218928571432,147.09526666666665,233.24629896143279,648.3352940476192,316.5458,568.449355237969,0.21428571428571427,0.0,268.7857142857143,66.64285714285714,0.1312220849535562,-0.24127250647468618
Chrome History,0.28125,9,32,142.9339761055556,120.55548596666667,79.18071851569951,671.436059338889,425.20685721666666,598.9483005362815,0.1111111111111111,0.1111111111111111,598.0,39.22222222222222,0.39807676639878864,-0.42510067007578695
Combined,0.28125,9,32,135.4943560111111,120.55548596666667,87.10667169911285,671.436059338889,425.20685721666666,598.9483005362815,0.2222222222222222,0.1111111111111111,590.5555555555555,39.22222222222222,0.39281982657550407,-0.42510067007578695
Smart Combined,0.5,16,32,189.25296927812502,130.66102696666667,228.37789103944303,640.9970432479167,316.52196430833334,585.6196657640572,0.125,0.0625,311.6875,74.875,0.13730713978368442,-0.238609769305004
